sma_short,sma_long,test_cagr,test_sharpe,test_profit_factor,test_max_drawdown,test_num_trades,full_cagr,full_profit_factor
10,45,20.98485661565648,-0.10111727882552249,0.7644417869732647,-0.2689443453400917,4,1.5347791369446089,7.332119756233812
14,30,12.411141580324044,-0.5395395551460253,0.6851366152369094,-0.29489271761193214,7,1.1844109814159132,6.177388439862973
16,40,13.220902495326854,-0.20322408663411953,0.5885633713769838,-0.27459777206474945,4,1.2232970634788938,8.779198384441647
22,30,4.726015618709665,-0.2794288470068527,0.5092087392884482,-0.27459777206474956,4,0.6907972688646657,5.088598440022684
12,45,18.22376190750284,-0.3124362460537279,0.4814823625406144,-0.3198153017628683,5,1.4344337412533483,7.213623162489885
12,40,15.951742704053324,-0.3124362460537279,0.4814823625406144,-0.31981530176286876,5,1.3440005949781497,6.557789677358187
20,30,5.16745897648042,-0.29687921287128405,0.473699736801443,-0.27872607742698263,4,0.7290158491724037,5.8943846617642
10,50,23.233264950285033,-0.38031402251418234,0.4457204654246235,-0.33678355797485937,5,1.6101632364504508,7.107897404805796
18,30,3.2122650294301076,-0.3555470064734264,0.433704760147805,-0.3164810630460201,5,0.5415621284625083,4.498246788636173
16,35,11.643316030136965,-0.37030053595338547,0.4075407324526142,-0.319815301762869,5,1.1459918389454455,7.168384277024367
18,35,6.139641735291919,-0.46351396664211947,0.37407909351942353,-0.31831196745997403,5,0.8068900981110805,5.372642125102908
10,35,11.476817577726312,-0.5684162700720287,0.31669701393209665,-0.32040522150353723,6,1.1374468586630258,5.28177050736481
16,30,10.052418840851377,-0.6074253839974195,0.3021689664003651,-0.31648106304602,6,1.0608684266798774,6.481773752354094
22,35,2.9179502558056765,-0.339581944672646,0.2996662625145425,-0.31013458416422124,4,0.5083198990173559,4.6257991607864986
18,40,7.173084968577983,-0.335300444402902,0.29966626251454226,-0.31013458416422124,4,0.8819219851693199,6.058328942843201
16,45,11.648026844041217,-0.35274427697029526,0.2892541650214276,-0.31013458416422135,4,1.1462324585126278,8.190708276765347
24,40,7.528692972283732,-0.37372048362200305,0.28210897389461975,-0.3165123846187894,4,0.9062002119739412,4.922604900628597
12,50,17.720707475932695,-0.44786301279392204,0.28044053825188936,-0.34943454212156155,5,1.415082335944108,7.275822343941928
22,50,2.9866626989071134,-0.38655172575381513,0.2728623896044665,-0.3165123846187894,4,0.5162330671305149,3.51006455421287
10,30,9.010940414604827,-0.6694890986800884,0.2720755430948345,-0.3441707685835015,6,1.0003859601796736,4.685834012293432
