sma_short,sma_long,test_cagr,test_sharpe,test_profit_factor,test_max_drawdown,test_num_trades,full_cagr,full_profit_factor
16,35,23.77451882568462,1.0158655663962644,4.0263933823418165,-0.23098747691724852,18,1.6228967588587766,6.0634819996446705
16,30,19.578674330643107,0.931788696803637,3.9427513883256347,-0.23098747691724864,18,1.480683384514709,5.350679903116704
14,35,21.059800530951456,1.0656741311450386,3.604899841941289,-0.25800025858249676,18,1.5330230653918244,5.5907495596286205
18,30,19.18296683763615,0.565255806746002,2.1203748589181592,-0.23098747691724852,18,1.466255775496209,5.32165055456683
14,40,14.432509394202476,0.6424160491201091,2.1165505442692893,-0.3161421667606632,19,1.2752290147963286,4.786518574714775
18,35,18.621142906448405,0.5235733271975345,1.9682335470907435,-0.23098747691724864,18,1.4454275778097667,5.343875924574223
14,45,11.789845355548898,0.5246104241380414,1.9657283857899586,-0.31614216676066353,19,1.1504028307003606,4.573470566289252
10,30,21.69715024962314,0.5842561728646306,1.9570895347618864,-0.2840224867456812,19,1.5547900332556228,5.332458862751835
10,35,22.136832940620025,0.4983090950262613,1.7635487299191333,-0.3161421667606632,19,1.5695581558957388,5.587222238109813
12,30,16.280021913436713,0.38221262974078285,1.7186822955289756,-0.25800025858249676,19,1.3538449827163972,5.230898456521051
20,30,16.584239454925466,0.4010547288554286,1.7128215685664416,-0.23098747691724852,19,1.3662182501237776,5.060287295483615
10,50,17.466923900904224,0.4193506967010448,1.7041327920497635,-0.28144649089551177,20,1.4012917857182976,5.232574897191147
20,35,16.51038719237574,0.3617460583779336,1.6128783871210584,-0.24398391663820207,20,1.36322834877922,5.329582189392921
12,40,16.147451132008474,0.3641801178649777,1.6107336412839608,-0.28144649089551177,20,1.3484053054421885,5.129116789171879
10,40,16.734278825940702,0.3314038799193699,1.5011953695548685,-0.28144649089551177,20,1.3722656308953254,5.009399628110797
12,35,17.2905023509695,0.24471216497576506,1.4026004189779007,-0.2840224867456813,20,1.394376955518943,5.347353469791036
22,30,13.203357050644508,0.2332586326406807,1.382654374247337,-0.26545233667698387,21,1.2192001141275224,4.549243224101941
10,45,16.536854970197247,0.23421715699493878,1.371689777158256,-0.2814464908955119,20,1.364300906570182,5.007506327128108
16,40,10.620448720539487,0.20607926045442043,1.3428498351870408,-0.3161421667606642,20,1.0893432274378783,4.576850570196354
16,45,9.950585304887024,0.15811114248845493,1.2967523283250462,-0.3161421667606653,20,1.052406579760492,4.483834086169077
10,55,14.39486141607249,0.1384019773103165,1.2515069362223525,-0.2814464908955119,20,1.2735601392729392,4.937368527789675
24,35,11.38529760895621,0.13740883906726784,1.2261841621959997,-0.2939560369175448,24,1.1297389077263862,4.4241492462953085
24,30,16.98300906711817,0.12917739650052681,1.2219638295179693,-0.2710551098531304,25,1.3822124018944995,4.7671624467191025
20,40,10.35774986453286,0.10449031338175153,1.2146611463334793,-0.2810418217416173,21,1.075040038321684,4.691314541712137
14,50,7.245359790627326,0.06399606599782513,1.1762585745134944,-0.316142166760665,19,0.8847070003552799,3.9083364160413185
18,40,10.459164997942764,0.04706761087558141,1.1467185482553957,-0.31510727199644906,20,1.080588952198331,4.510329417913447
22,40,9.402543800815435,0.02485481271759992,1.1195212348202936,-0.2912544856101674,22,1.0209929241649034,4.421679112312677
10,60,12.972789521433649,0.02777308462175196,1.1145302167723006,-0.2814464908955119,20,1.2083156199601324,4.642758885789906
22,35,9.170516469194213,0.015334612478980996,1.1131794414538054,-0.2997762505398982,21,1.0073437764519926,4.382756991411163
24,40,9.358476718727369,0.012443812928538174,1.1047805797023837,-0.25324201396288026,23,1.0184171552022434,4.441320089118682
16,50,7.68666855189222,-0.030931919962380504,1.070199448047603,-0.316142166760665,20,0.9144602382656213,4.037474179624729
14,55,6.861808797593757,-0.08311962999328705,1.033114064097984,-0.3161421667606651,19,0.8579289497261056,3.802695455880048
12,45,10.484476916117305,-0.030874098328832877,1.0277446035062598,-0.28144649089551244,21,1.0819685289805734,4.492944609778024
16,55,7.303212304287223,-0.14996640789273202,0.9611587699097973,-0.316142166760665,20,0.8886699292256985,3.8804557740697407
22,45,8.413413262665573,-0.14438071485631263,0.9586541536329676,-0.2790706596863799,22,0.9612322318518629,4.261912084742518
20,45,8.836961636521307,-0.14421945865369165,0.9575219896488223,-0.25800025858249853,21,0.987335201865184,4.432933547217377
16,60,7.836349039152163,-0.15125837251115326,0.9465241534288222,-0.3161421667606651,20,0.9243112521804371,4.076760846901878
14,60,7.4051428337212055,-0.19668582009918364,0.934435325243544,-0.316142166760665,19,0.8956054805554603,3.995967440637808
22,60,8.365397070068761,-0.17038200982960366,0.9195179558408081,-0.3047761666629796,20,0.9582215225743096,4.318300874232053
18,50,7.8145198355585155,-0.20138843856330135,0.9098160736485572,-0.2840224867456831,20,0.9228819015876453,3.9902778397915273
22,55,7.538617544985984,-0.18998581038338297,0.9041557204060519,-0.3114272712657905,21,0.9045989464542314,4.145708398465966
24,60,9.384289690370048,-0.1856932890393089,0.9030356838378925,-0.32072031290932024,21,1.0199268794033953,4.780092014415495
18,45,8.246738392807245,-0.23025610580114106,0.8901740147105093,-0.2891951986566419,20,0.9507347914108388,4.101291701509189
18,55,8.707037923866713,-0.22688310494253522,0.8861652990386624,-0.29484215357483323,20,0.9794131402111743,4.239355026529264
24,55,8.938617223162304,-0.2097423370116209,0.8811438386409666,-0.3289098424942509,22,0.9934827312333236,4.5104640890136665
24,45,7.800450777571296,-0.2328392931353677,0.8798599244298361,-0.30343766512457593,24,0.9219593633712899,4.208805467317141
18,60,6.977006569170905,-0.23506067159403027,0.8632964422856859,-0.3089661381816735,19,0.8660658723804389,3.9370650707754327
12,50,9.244325240095701,-0.2198026633776645,0.8628741793884367,-0.28144649089551366,21,1.0117090369138726,4.12890168451515
20,50,7.836162535998623,-0.2562159619319762,0.8622759629957084,-0.2750392547597934,21,0.9242990506414013,4.165670536570932
20,60,8.332831815800994,-0.24823554086266594,0.8472833546019166,-0.28534290756684066,20,0.9561734666148436,4.354513620128515
20,55,7.07570911327384,-0.29253235136662514,0.8173278136750853,-0.2880771007644115,21,0.8729725233277765,4.039098237386806
22,50,7.302254312579022,-0.3815889122021451,0.7944890788498163,-0.29484215357483323,22,0.8886044638036792,3.9915433735846024
